lon,lat
-147.5390648,63.1353518
-147.5390695,63.135285
-147.5393352,63.1353556
-147.5393398,63.1352888
-147.5394639,63.1355802
-147.5394746,63.1355335
-147.539787,63.1355947
-147.5397977,63.1355486
-147.7253141,61.7934401
-147.7253143,61.7932725
-147.7254267,61.7935846
-147.7254269,61.7934781
-147.725432,61.7932726
-147.7254321,61.7932195
-147.7255762,61.793767
-147.7255764,61.7935847
-147.7255766,61.7934402
-147.7255766,61.7934781
-147.7255769,61.793217
-147.7255769,61.7932196
-147.7260651,61.7937672
-147.7260655,61.7934403
-147.7260658,61.7932727
-147.7260659,61.7932171
-147.7261346,61.7934404
-147.7261348,61.7932728
-147.8697293,61.6616976
-147.8770156,61.7964302
-147.8772102,61.7965765
-147.877536,61.7962756
-147.8777306,61.7964218
-147.9560338,61.8024491
-147.9561733,61.8024998
-147.9562215,61.8023414
-147.9563422,61.8024035
-147.956361,61.8023946
-147.9565336,61.8026604
-147.9568471,61.8027784
-147.9569115,61.8024363
-147.957225,61.8025544
-147.9575816,61.8029982
-147.9576608,61.8030128
-147.9576714,61.8028894
-147.9576767,61.8029936
-147.9576862,61.8030352
-147.9577148,61.8030006
-147.9578101,61.802915
-147.9579015,61.8028043
-147.9579446,61.8030828
-147.9581386,61.802848
-148.0110087,60.0646893
-148.0110095,60.0646126
-148.0113552,60.0646901
-148.0113554,60.0646661
-148.0113617,60.0646363
-148.0113619,60.0646135
-148.0114281,60.0646663
-148.0114284,60.0646365
-148.6803104,60.7742104
-148.680375,60.7740961
-148.6807305,60.7742669
-148.6807951,60.7741527
-148.6845243,60.7775861
-148.6845746,60.7776113
-148.6846584,60.777521
-148.684707,60.7775484
-148.6850433,60.7773921
-148.6850533,60.7775145
-148.6850589,60.7774293
-148.6850736,60.777247
-148.6852028,60.7775169
-148.6852084,60.7774316
-148.6853037,60.7774051
-148.685334,60.7772599
-148.6861818,60.7766987
-148.6861971,60.7766354
-148.6862799,60.7767043
-148.6862952,60.7766411
-148.6863317,60.7767073
-148.6863508,60.7766217
-148.6864685,60.7767145
-148.6864875,60.776629
-148.8435466,60.7836547
-148.8436575,60.7837821
-148.843826,60.7835967
-148.843937,60.7837242
-148.8765757,61.7110932
-148.8765764,61.7110147
-148.8766195,61.7159957
-148.8766352,61.7151064
-148.8766379,61.7111465
-148.8766384,61.7110933
-148.8766493,61.7110149
-148.8766497,61.7109711
-148.8767093,61.7109712
-148.8767102,61.7108746
-148.8770239,61.7109279
-148.8770244,61.7108752
-148.8770876,61.7111475
-148.8770886,61.7110444
-148.8771515,61.7110445
-148.8771525,61.7109281
-148.878037,61.7151059
-148.8780717,61.7164435
-148.8781788,61.7163196
-148.8782411,61.7162874
-148.8785434,61.7163538
-148.8785926,61.7163036
-148.8786703,61.7163207
-148.8786902,61.7158286
-148.8788277,61.7154972
-148.8788568,61.7161302
-148.8789569,61.7156688
-148.8789575,61.7158873
-148.8789764,61.715868
-148.8790647,61.7159241
-148.8790942,61.7158939
-148.8795312,61.7162784
-148.879614,61.7161938
-148.8796578,61.7162035
-148.8796864,61.7161743
-148.8797028,61.7161779
-148.8797944,61.7160844
-148.8798295,61.71676
-148.8806044,61.7164629
-148.8807273,61.7160286
-148.8811305,61.715633
-148.8812218,61.7165301
-148.8816471,61.7165167
-148.8825386,61.7166764
-148.8830741,61.7161017
-148.8943463,61.7098044
-148.8943772,61.7097007
-148.8944844,61.710609
-148.8944884,61.7104529
-148.8947461,61.7104555
-148.8947866,61.7098451
-148.8947898,61.7098341
-148.8949031,61.7098529
-148.8949304,61.7106113
-148.8949334,61.7104552
-148.8949373,61.7097382
-148.8987981,61.4856038
-148.8988839,61.4855192
-148.899136,61.485678
-148.8992192,61.4855941
-148.9351594,61.7083441
-148.9351782,61.7084801
-148.9353274,61.7083389
-148.9353462,61.7084749
-148.93623,61.7082539
-148.9362401,61.7083709
-148.9363987,61.7082507
-148.9364087,61.7083677
-148.9841586,60.8213934
-148.9842652,60.8214758
-148.9843067,60.821511
-148.984322,60.8214583
-148.9843664,60.8214926
-148.984398,60.8215816
-148.9844482,60.8215863
-148.9844799,60.8214099
-148.98449,60.8215929
-148.9845143,60.821284
-148.9845192,60.8216161
-148.984523,60.8214432
-148.9845599,60.8214319
-148.9845717,60.8215625
-148.9846029,60.8215903
-148.984621,60.8213665
-148.9846291,60.8215418
-148.9846514,60.8215026
-148.9967108,61.6893176
-148.9971185,61.6954584
-149.0043426,61.537998
-149.0043589,61.5357271
-149.0052272,61.5363867
-149.0057633,61.5361312
-149.0060449,61.6892972
-149.0060899,61.5367978
-149.0066259,61.5365423
-149.0083972,61.5380329
-149.0084958,61.5381119
-149.0086336,61.5285301
-149.0086467,61.5357448
-149.0086667,61.5284097
-149.0087171,61.5358434
-149.0087459,61.537944
-149.008774,61.537316
-149.008944,61.5285525
