lon,lat
-143.3557275,63.3762547
-143.3557429,63.376394
-143.3557456,63.3763939
-143.3557547,63.3764759
-143.356236,63.376383
-143.3562451,63.376465
-143.3565375,63.3762366
-143.3565529,63.376376
-143.3591527,63.3783906
-143.359327,63.3783124
-143.3595014,63.3785468
-143.3596757,63.3784687
-144.0578413,63.6578277
-144.05841,63.6579206
-144.0586294,63.6581348
-144.0586732,63.6578552
-144.0586936,63.657877
-144.0589081,63.6578134
-144.0589633,63.6580449
-144.0589798,63.6578712
-144.0589843,63.6580629
-144.0590322,63.6584894
-144.0592542,63.6578126
-144.0593808,63.6579491
-144.0596545,63.6570922
-144.0599871,63.6585561
-144.0616125,63.6580967
-144.0693698,63.6625476
-144.0693859,63.6626142
-144.0695897,63.6625547
-144.0695897,63.6625393
-144.0696085,63.6625785
-144.0696138,63.6626035
-144.069638,63.6625547
-144.0696407,63.6625738
-144.8202557,65.5711748
-144.8203662,65.5705072
-144.8208825,65.5701335
-144.8212872,65.5712314
-144.8226669,65.5701838
-144.8226759,65.5714142
-144.8232481,65.5711678
-144.8233562,65.5704578
-145.5025783,64.0015814
-145.502668,64.0015365
-145.5030558,64.0017648
-145.5031454,64.0017199
-145.6794776,64.0254787
-145.6794921,64.0256081
-145.6796775,64.0254331
-145.6796821,64.0254743
-145.679717,64.0255682
-145.6797209,64.0256032
-145.6800984,64.0254241
-145.6801047,64.0254802
-145.6803029,64.025476
-145.6803118,64.0255554
-145.6989507,64.03179
-145.6990191,64.0317328
-145.6991578,64.0318375
-145.6992262,64.0317804
-145.7093944,64.038985
-145.7094027,64.041149
-145.7096998,64.0403219
-145.7097048,64.039843
-145.7100777,64.040338
-145.7100778,64.0403226
-145.7102734,64.0403384
-145.7102736,64.0403219
-145.7103341,64.0400534
-145.7103362,64.0398442
-145.7103536,64.0413392
-145.7105313,64.043085
-145.7105407,64.0403225
-145.7105411,64.0402884
-145.711083,64.0400549
-145.7110853,64.0398382
-145.7111632,64.0440875
-145.7116822,64.0423193
-145.7117153,64.0401274
-145.7117183,64.0398395
-145.7117203,64.0402908
-145.7117212,64.0402074
-145.7118104,64.0402075
-145.7118113,64.0401275
-145.7125639,64.0389827
-145.7125664,64.0396413
-145.7126336,63.9708954
-145.7126441,64.0444159
-145.7126463,63.97104
-145.712849,63.9708968
-145.7128712,64.0422417
-145.712887,63.9710094
-145.712887,63.9708635
-145.7128902,63.9710386
-145.7129853,64.0424283
-145.7132355,63.970869
-145.7132418,63.9708454
-145.713245,63.9710122
-145.7132576,63.9711331
-145.7133279,64.0423991
-145.7134449,64.0427146
-145.7134747,64.043134
-145.7134995,64.0427125
-145.7135125,64.0421789
-145.7135392,64.0432803
-145.7135681,63.9711331
-145.7135712,63.9708482
-145.7135768,64.042298
-145.7136798,64.0431167
-145.7137389,64.0422849
-145.7137513,64.0423147
-145.7138055,64.0396404
-145.7138113,64.0411458
-145.7138335,64.0432553
-145.7138577,64.0433098
-145.7140652,64.0422895
-145.7142936,64.0432213
-145.7143158,64.0432705
-145.7144102,64.0427396
-145.7144486,64.0417695
-145.7144719,64.0426384
-145.7144863,64.0429023
-145.7144956,64.0429302
-145.7145003,64.0422886
-145.714515,64.0427301
-145.7145395,64.0428976
-145.7145523,64.0429252
-145.7145566,64.0430639
-145.7145813,64.0421788
-145.7146356,64.0425644
-145.7146365,64.0421339
-145.7146658,64.0421907
-145.714682,64.0425661
-145.7146993,64.0446829
-145.7147009,64.042143
-145.7147061,64.0426173
-145.7147352,64.0430483
-145.7147941,64.0431778
-145.7148622,64.0418279
-145.7156912,64.0418012
-145.7157344,64.0419197
-145.7159584,64.0417826
-145.7160017,64.041901
-145.7173459,64.0467191
-145.7173463,64.0465865
-145.7175182,64.0422487
-145.7177607,64.0467194
-145.717761,64.0466262
-145.717952,64.0465868
-145.7179523,64.0464867
-145.7181924,64.0466264
-145.7181928,64.0464868
-145.7183045,64.0446954
-145.718923,64.041296
-145.7203265,64.0351336
-145.7203387,64.0353428
-145.720535,64.0351313
-145.7205472,64.0353404
-145.7218024,63.9727653
-145.7218135,63.9724392
-145.7219257,63.97244
-145.7219293,63.9723346
-145.7226443,63.9727708
-145.7226481,63.9726581
-145.723052,63.9726608
-145.7230629,63.972342
-145.7236622,63.9889191
-145.7236948,63.9885117
-145.7250536,63.9889405
-145.7250862,63.988533
-145.7265736,64.0414855
-145.726726,64.041769
-145.7267682,64.0414655
-145.726785,64.0414967
-145.726855,64.0416332
-145.7269174,64.0417493
-145.7270687,64.0414675
-145.7270876,64.0415026
-145.7271119,64.0415617
-145.7271348,64.0416043
-145.7271379,64.0414975
-145.7271692,64.0415558
-145.7286525,64.0418039
-145.7287341,64.0419566
-145.7287898,64.0417899
-145.7288088,64.0418254
-145.7292974,64.0417753
-145.72936,64.0418925
-145.729536,64.0475425
-145.7295452,64.0472648
-145.729667,64.0472656
-145.7296682,64.0472286
-145.7299877,64.0472702
-145.729989,64.0472307
-145.7301343,64.0475463
-145.7301435,64.0472712
-145.7306008,64.0552649
-145.7306079,64.0553971
-145.7307231,64.0350897
-145.7307246,64.0350257
-145.7307482,64.0350879
-145.7307589,64.0351841
-145.7307725,64.0355014
-145.7308526,64.0357145
-145.7308595,64.0552286
-145.7308613,64.0552622
-145.730928,64.0552279
-145.73093,64.0552638
-145.7309388,64.0354906
-145.7309563,64.0552369
-145.7309577,64.0552635
-145.7310128,64.0357038
-145.7310148,64.0350046
-145.7310304,64.0552361
-145.7310318,64.0552632
-145.7310742,64.0351612
-145.7311279,64.0304404
-145.7311325,64.0553917
-145.7311332,64.0554044
-145.7312119,64.0365829
-145.7312149,64.0310284
-145.7312449,64.0311035
-145.7312604,64.0552608
-145.7312616,64.0552825
