lon,lat
-151.7177228,59.441418
-151.7173805,59.4414276
-151.7177678,59.4416518
-151.7177107,59.4418267
-151.7175301,59.4421433
-151.7172158,59.442361
-151.7169645,59.4425407
-151.7164127,59.4425515
-151.71681,59.442616
-151.7171134,59.4426245
-151.7175328,59.4426862
-151.7165617,59.4430396
-151.7169313,59.4431939
-151.7173673,59.4432023
-151.4112104,59.601699
-151.4111026,59.6018063
-151.4116433,59.6018256
-151.4115389,59.6019277
-151.5145903,59.6380699
-151.5143235,59.6381146
-151.514782,59.6383624
-151.5145152,59.6384071
-151.5073938,59.6394651
-151.5071451,59.6395109
-151.5075519,59.6396847
-151.5074518,59.6397032
-151.5074766,59.6397377
-151.507328,59.639765
-151.5028199,59.6401282
-151.5026238,59.6401662
-151.5029847,59.6403457
-151.5027887,59.6403836
-151.6377647,59.659713
-151.6364738,59.6598304
-151.6374222,59.6598582
-151.6366065,59.6598923
-151.6363129,59.6599185
-151.6364456,59.6599804
-151.6382127,59.6599825
-151.6379982,59.6600735
-151.6367583,59.6601225
-151.6381453,59.660162
-151.6370486,59.6601826
-151.6380172,59.6602163
-151.6366057,59.6603105
-151.636896,59.6603706
-151.6363899,59.6603889
-151.6361789,59.6603999
-151.6364174,59.660523
-151.6362064,59.660534
-151.4409492,59.6639626
-151.4408108,59.6639788
-151.4411932,59.6639894
-151.4409364,59.6639925
-151.4411904,59.6639958
-151.4412646,59.664004
-151.4411482,59.6640939
-151.4412224,59.6641021
-151.4409972,59.6641058
-151.4411366,59.664121
-151.4407302,59.6641381
-151.4409691,59.6641664
-151.4433869,59.6645503
-151.4439194,59.6645563
-151.4433808,59.6646893
-151.4439133,59.6646953
-151.4525392,59.664794
-151.443365,59.6648019
-151.4438816,59.6648079
-151.4521308,59.6648606
-151.4533326,59.6648932
-151.4530612,59.6649275
-151.4522121,59.6649877
-151.4519872,59.6650244
-151.4433546,59.6650309
-151.4438713,59.6650369
-151.4534104,59.6650503
-151.453139,59.6650846
-151.4527363,59.6651022
-151.4526223,59.6651208
-151.452641,59.66515
-151.4521217,59.6652347
