lon,lat
-148.8708669,63.3856742
-148.870962,63.3856915
-148.8708159,63.3857307
-148.870911,63.3857479
-148.9516962,63.3912578
-148.9512963,63.3913409
-148.9518118,63.3913695
-148.9514119,63.3914525
-145.7688063,63.4231956
-145.7686322,63.4232613
-145.7680322,63.4233156
-145.769096,63.4233492
-145.7677871,63.4234068
-145.7689219,63.4234149
-145.7688132,63.4234407
-145.7684024,63.4235148
-145.7684684,63.4235652
-145.7681572,63.423606
-145.7680061,63.4237233
-145.7693497,63.4237383
-145.7676959,63.4238388
-145.7690048,63.4238628
-145.768564,63.4240233
-145.7682538,63.4241388
-145.7681293,63.4254643
-145.7708352,63.4254763
-145.7679266,63.4255403
-145.7710594,63.4255955
-145.7704973,63.4256035
-145.7690307,63.4256699
-145.7707214,63.4257227
-145.7686551,63.4257451
-145.7692355,63.4257827
-145.7684523,63.4258211
-145.7685157,63.4258571
-145.7687205,63.4259699
-148.917338,63.732342
-148.9175591,63.7323527
-148.9173041,63.7324774
-148.9172971,63.7325055
-148.9173799,63.7325095
-148.9175116,63.732516
-148.951228,63.8544981
-148.9508958,63.8545442
-148.9515932,63.8545913
-148.9510993,63.8545961
-148.950771,63.8546131
-148.9507967,63.8546196
-148.9493488,63.8546578
-148.9498412,63.8546798
-148.9501223,63.8547595
-148.9497199,63.8547629
-148.951365,63.8547651
-148.950166,63.8547943
-148.9515179,63.8548041
-148.9504409,63.8548644
-148.9490424,63.8548679
-148.9492902,63.8549381
-148.9511713,63.855068
-148.9490578,63.8550975
-148.9513825,63.8551218
-148.9494622,63.855212
-148.9495287,63.8552795
-148.9496983,63.8553228
-148.9496429,63.855365
-148.9506369,63.8554625
-148.9508602,63.8555194
-148.9504834,63.8555793
-149.0048534,63.9037341
-149.0037666,63.903966
-149.0051505,63.9040035
-149.0040637,63.9042354
-148.9973291,63.9043257
-148.9975525,63.9043458
-148.9974523,63.9043857
-148.9979189,63.9045241
-148.9961158,63.9048081
-148.9966053,63.9050463
-145.6812778,64.026909
-145.6817108,64.0269105
-145.6794577,64.0269722
-145.6800991,64.0269777
-145.6800937,64.027097
-145.6810907,64.0271057
-145.6812726,64.027199
-145.6817055,64.0272005
-145.6794412,64.027337
-145.6810796,64.0273513
-145.6816083,64.0278509
-145.6801067,64.0278856
-145.6816483,64.0281834
-145.6801468,64.0282181
-145.7571043,64.1639451
-145.7565993,64.1639517
-145.7571255,64.1644038
-145.7566398,64.1644119
-149.1953214,64.2863052
-149.1948157,64.2863439
-149.194705,64.2863526
-149.1946744,64.2864019
-149.1946701,64.2864417
-149.1946744,64.2865233
-149.194705,64.2866011
-149.1947837,64.2866769
-149.1954787,64.2866921
-149.1954313,64.2866957
-149.1952511,64.2867095
-149.194973,64.2867308
-149.1948799,64.2867357
-149.1939042,64.2892178
-149.1939877,64.2892414
-149.1937434,64.2892741
-149.1941743,64.2892898
-149.1943318,64.2893307
-149.1944234,64.2893545
-149.1935951,64.2893572
-149.1935023,64.2894323
-149.1934405,64.2895074
-149.1934714,64.289553
-149.1935364,64.2895686
-149.1937723,64.2896298
-149.1939353,64.2896721
