lon,lat
-147.7210118,64.8434437
-147.7211298,64.8436895
-147.720742,64.843646
-147.7206133,64.8436716
-147.7203022,64.8437173
-147.7202182,64.8436906
-147.7195702,64.843743
-147.7194794,64.8435757
-147.8252771,64.8561726
-147.8250576,64.8562363
-147.8245681,64.8559305
-147.824788,64.855867
-147.8431317,64.8575339
-147.8421841,64.8574712
-147.8421872,64.8573783
-147.8429731,64.857383
-147.8483944,64.8581909
-147.8490045,64.8582817
-147.8213491,64.8587893
-147.821347,64.8584877
-147.8211395,64.8584873
-147.8211366,64.8587889
-147.8241351,64.8584976
-147.8235455,64.8584178
-147.8236317,64.8583602
-147.8239665,64.8584507
-147.8243485,64.8581956
-147.8309681,64.8585496
-147.830272,64.8585501
-147.8297054,64.8587993
-147.8284094,64.8585477
-147.8284086,64.8583377
-147.8290905,64.8583373
-147.8297043,64.8584944
-147.8302712,64.8583331
-147.8309674,64.8583326
-147.8241375,64.8567933
-147.8235662,64.8567095
-147.8230217,64.8567727
-147.8229842,64.8566816
-147.8234844,64.8566012
-147.823644,64.8564548
-147.8238223,64.8564864
-147.823707,64.8565947
-147.8242475,64.856685
-147.8239563,64.8606942
-147.8237033,64.8606934
-147.8236742,64.8602738
-147.8252932,64.8606122
-147.8252881,64.8604411
-147.8254028,64.8604405
-147.8254002,64.8603528
-147.8252407,64.8603536
-147.825113,64.8606132
-147.8263866,64.8604322
-147.8262036,64.8604733
-147.7219306,64.8454629
-147.7214782,64.8454327
-147.721578,64.8451741
-147.7217768,64.8451583
-147.7174958,64.8440763
-147.7168518,64.8441235
-147.7167805,64.843948
-147.7174245,64.8439008
-147.7166819,64.8424598
-147.7162269,64.8420729
-147.7252087,64.8439746
-147.7161944,64.842484
-147.7166494,64.84237
-147.7255095,64.8435784
-147.7163488,64.8423804
-147.7160481,64.8420936
-147.8319101,64.8591327
-147.8327182,64.8591464
-147.8262292,64.858798
-147.8323814,64.8590754
-147.8323231,64.8591999
-147.8321028,64.8590848
-147.8325852,64.8591464
-147.8319084,64.8592215
-147.8324997,64.8590316
-147.8319097,64.8591104
-147.8316995,64.8592429
-147.8321715,64.8590962
-147.8325064,64.8591466
-147.8319087,64.8592432
-147.8326608,64.8590335
-147.8321903,64.8592002
-147.8316978,64.8591332
-147.82675,64.8586143
-147.8323157,64.8590843
-147.8268774,64.858686
-147.8323981,64.8591777
-147.8321182,64.8592004
-147.8263267,64.85886
-147.8325002,64.8590624
-147.8236714,64.8604936
-147.9102955,64.9132554
-147.9102314,64.9130903
-147.9105412,64.9130686
-147.9106053,64.9132338
-147.8097565,64.8311361
-147.811898,64.831134
-147.8100777,64.8313033
-147.8097572,64.8312765
-147.8106261,64.8313233
-147.811899,64.8313221
-147.8105214,64.8313619
-147.8100828,64.8322399
-147.8105266,64.8322394
-147.7701214,64.8425717
-147.7705003,64.8427633
-147.769075,64.8429458
-147.769454,64.8431374
-147.7170682,64.8600358
-147.716621,64.8600374
-147.7224202,64.8600452
-147.7208392,64.8600468
-147.7219109,64.8602562
-147.7208404,64.8602573
-147.7146196,64.8603095
-147.7234302,64.8603165
-147.7162627,64.8603169
-147.7224217,64.8603175
-147.7146148,64.8605014
-147.716258,64.8605088
-147.7234313,64.8605232
-147.7219124,64.8605247
-147.7161465,64.8607151
-147.7170822,64.8607452
-147.716635,64.8607468
-147.716283,64.8608743
-147.7146123,64.8609525
-147.7147488,64.8611117
-147.7181221,64.8613691
-147.7185166,64.8614222
-147.7215714,64.8614652
-147.7211933,64.8614701
-147.7189068,64.8614543
-147.7193002,64.8614546
-147.7219648,64.8615802
-147.7230389,64.8615814
-147.7150292,64.8616066
-147.7145864,64.8616086
-147.7219638,64.8617401
-147.7230379,64.8617413
-147.7224275,64.8619266
-147.7220672,64.8619307
-147.7176467,64.8620075
-147.7180412,64.8620606
-147.7189033,64.8621255
-147.7192968,64.8621258
-147.7216192,64.8621319
-147.7212411,64.8621368
-147.7193362,64.8621903
-147.7188534,64.8621927
-147.7213947,64.8622574
-147.7210228,64.8622584
-147.7177988,64.8622473
-147.7181695,64.8622996
-147.7150466,64.8623047
-147.7146038,64.8623067
-147.7193434,64.8624499
-147.7188606,64.8624523
-147.7189027,64.8625264
-147.719296,64.8625286
-147.7224698,64.8625875
-147.7221094,64.8625917
-147.7150471,64.8626078
-147.7149113,64.8627931
-147.7166306,64.8628173
-147.7173034,64.8628816
-147.7214051,64.8629218
-147.7210332,64.8629229
-147.7176741,64.8629338
-147.7164947,64.8630025
-147.7188821,64.8631983
-147.7192753,64.8632004
-147.8229624,64.8591251
-147.8231112,64.8591763
-147.8228059,64.8592071
-147.8228987,64.859239
-147.8221984,64.8592546
-147.8220864,64.8593202
-147.8225307,64.8593572
-147.8224187,64.8594227
-147.8230229,64.8595157
-147.829286,64.8595603
-147.8289132,64.8595916
-147.8229058,64.8595873
-147.8233392,64.8596089
-147.8293236,64.8596408
-147.8289508,64.8596722
-147.823222,64.8596805
-147.8256288,64.8603047
-147.8261311,64.8603136
-147.8279516,64.8604073
-147.8282659,64.860376
-147.8288519,64.8603766
-147.8256533,64.860387
-147.8281334,64.8604042
-147.8282662,64.860404
-147.826131,64.8603938
-147.8281415,64.8604398
-147.8285071,64.8604415
-147.8282666,64.8604395
-147.8285933,64.8604414
-147.8295478,64.8604638
-147.8293493,64.8604651
-147.8282669,64.8604728
-147.8285937,64.8604725
-147.8285074,64.8604723
-147.8288529,64.860472
-147.8293501,64.8604865
-147.8292193,64.8604874
-147.8279145,64.8605102
-147.828023,64.86051
-147.8281422,64.8605093
-147.8282369,64.8605091
-147.8295362,64.8605609
-147.8293803,64.860562
-147.8293808,64.8605751
-147.8292227,64.8605762
-147.8296937,64.8606101
-147.8296311,64.8606105
-147.8295381,64.8606122
-147.8294687,64.8606127
-147.828144,64.8606467
-147.8282384,64.8606466
-147.8279318,64.8606467
-147.8280245,64.860647
-147.8281438,64.8607163
-147.8282698,64.8607164
-147.8279316,64.8607156
-147.8279737,64.8607157
-147.8296991,64.8607487
-147.8294741,64.8607503
-147.8279737,64.8607531
-147.8282699,64.8607532
-147.8284774,64.8611302
-147.8282615,64.8611316
-147.8284813,64.8612354
-147.8284025,64.861236
-147.8283254,64.8612361
-147.8282654,64.8612365
-147.8287351,64.8612742
-147.8285763,64.8612753
-147.8285768,64.8612895
-147.8284046,64.8612907
-147.8287385,64.8613656
-147.8285762,64.8613839
-147.8284133,64.8613653
-147.8283302,64.8613659
-147.828414,64.861385
-152.0862251,65.171155
-152.0902127,65.1712731
-152.0905375,65.1712139
-152.0900275,65.1712608
-152.0825604,65.170748
-152.0900525,65.1711826
-152.0895267,65.1716008
-152.0826888,65.1707245
-152.0940207,65.1714789
-152.0902365,65.1711973
-152.0894981,65.1712309
-152.0862378,65.1709602
-152.093052,65.1716454
-152.0864576,65.1709627
-152.0827376,65.1707565
-152.0826229,65.170721
-152.0895232,65.1711527
-152.089592,65.171369
-152.0935171,65.1715442
-152.0864449,65.1711575
-152.0939616,65.1716903
-152.0894291,65.171361
-152.0826165,65.1707507
-152.0905137,65.1712898
-152.0930863,65.1715229
-152.0893639,65.1715927
-152.0826819,65.1707538
-152.0827028,65.170884
-152.0825256,65.1708755
-152.093542,65.1714553
-152.035464,65.1706206
-152.0353038,65.1706229
-152.0357441,65.1705245
-152.0352965,65.1705308
-152.0354633,65.1706116
-152.0357507,65.1706076
-147.3585514,64.7580003
