,lon,lat
65577353,-147.3691559,64.744424
65578328,-147.3653135,64.7447725
65592174,-147.8440483,64.8462141
65597342,-147.7516353,64.8535179
65597345,-147.7509449,64.8533028
65615493,-147.844065,64.844938
65617246,-147.7447948,64.858087
65628274,-147.6678264,64.8485611
65638783,-147.7469078,64.8554984
65638786,-147.7458947,64.8561174
65639949,-147.7240611,64.8599759
65639951,-147.7237103,64.8613311
65639961,-147.7233624,64.8624566
65671859,-134.512819,58.3622642
65671864,-134.512802,58.3627342
65672871,-134.6177833,58.3704221
65675774,-134.6401605,58.3850013
65702976,-131.6379268,55.3395511
65702983,-131.6385308,55.3388252
65703212,-131.6369477,55.3392039
65783159,-149.4297237,61.5869178
65783975,-149.3643806,61.6282688
65788032,-149.502935,61.5292255
65792511,-149.2998295,61.6082785
65799056,-149.8175835,61.5380236
65803951,-168.952018,65.7588189
65803954,-168.9513795,65.759102
65806785,-149.0087459,61.537944
65806787,-149.008774,61.537316
65856495,-149.4318614,61.5866428
65856501,-149.4321442,61.5865426
65865250,-135.3558659,57.0498853
65866833,-135.3479684,57.0496624
65867379,-135.351231,57.0497248
65867392,-135.3490067,57.0506361
65870799,-135.354936,57.0529785
65870806,-135.3563326,57.0504586
65870808,-135.3562628,57.0503215
65870810,-135.3561609,57.0501552
65870813,-135.3560429,57.0500283
65871470,-135.3566985,57.053863
65872683,-135.3492991,57.0493953
65904292,-145.7116822,64.0423193
150919064,-149.1103886,60.9610074
231478661,-152.4513694,57.77588
313698113,-149.9041858,61.2144997
313698114,-149.9042479,61.2141113
313698115,-149.9039342,61.2141102
313698116,-149.9039193,61.2144986
313698195,-149.9005561,61.2138617
313698197,-149.9005579,61.2136947
313698199,-149.8998806,61.213693
313698201,-149.8998788,61.2138601
313700053,-149.8682506,61.2143088
313700054,-149.8682591,61.2137136
313700056,-149.8674781,61.2137136
313700057,-149.8675038,61.2143088
313704074,-149.8304827,61.2149077
313704075,-149.8304782,61.2143833
313704076,-149.8300396,61.2143842
313704077,-149.8300405,61.214483
313704078,-149.8294948,61.2144841
313704080,-149.8290238,61.2147237
313704081,-149.8284777,61.2147248
313704082,-149.8284797,61.2149542
313705107,-149.8206303,61.2164222
313705108,-149.8160853,61.2164895
313705110,-149.816107,61.2170463
313705111,-149.8180664,61.2169128
313705112,-149.8180468,61.2176414
313705113,-149.8197033,61.2175794
313705114,-149.8196432,61.2171661
313705115,-149.8201582,61.2171537
313892708,-149.9000482,61.2211485
313892709,-149.9000225,61.2209378
313892710,-149.8982715,61.2209749
313892711,-149.8982876,61.2211851
313892827,-149.8974046,61.2217435
313892829,-149.8974132,61.2215204
313892830,-149.8966837,61.2215204
313892832,-149.8966837,61.2216444
313892833,-149.8960657,61.2216485
313892834,-149.8960657,61.2217477
313914099,-149.8262974,61.2470392
313914101,-149.8260828,61.2469442
313914104,-149.8249498,61.2475099
313914106,-149.8245636,61.2474975
313914107,-149.8245293,61.2476172
313914109,-149.8249813,61.2476615
313914110,-149.8251237,61.2480827
313914112,-149.8241087,61.248174
313914113,-149.8241516,61.2482861
313914114,-149.8254562,61.2481705
313914115,-149.8253275,61.2477122
313914117,-149.8260828,61.2473406
313914118,-149.8261686,61.2473778
313914119,-149.8264261,61.2472415
313914122,-149.8261515,61.2471053
313914673,-149.8195689,61.242618
313914674,-149.8192398,61.24249
313914676,-149.8179662,61.2433176
313914677,-149.8181966,61.2433813
313914678,-149.8184687,61.2432112
313914680,-149.8192769,61.2435958
313914681,-149.819709,61.243335
313914683,-149.8187262,61.2431101
313915844,-149.8065839,61.244085
313915845,-149.8058965,61.2444239
313915846,-149.806707,61.2448044
313915847,-149.8067982,61.2447595
313915848,-149.8076859,61.2451764
313915850,-149.8079101,61.2450659
313915851,-149.8084086,61.2453042
313915852,-149.8081676,61.2454227
313915853,-149.8083801,61.2455227
313915855,-149.8089636,61.2452356
313915856,-149.8087671,61.2451432
313915857,-149.808683,61.2451846
313915858,-149.8082403,61.2449784
313915859,-149.8083606,61.2449191
313915890,-149.8070076,61.2453376
313915891,-149.8063451,61.2450171
313915892,-149.8059181,61.2452213
313915893,-149.8052773,61.2449111
313915894,-149.8046138,61.2452283
313915895,-149.8051822,61.2454884
313915897,-149.8051158,61.2455202
313915898,-149.8053266,61.2456221
313915901,-149.805427,61.2460937
313917300,-149.8160506,61.2475579
313917301,-149.815283,61.2471225
313917302,-149.8150225,61.2472499
313917303,-149.815868,61.2476477
313940168,-149.8283506,61.2267453
313940171,-149.8271146,61.2276129
313940206,-149.8263765,61.2266586
313940208,-149.8259216,61.226514
313940210,-149.8256212,61.2267288
313940213,-149.8250032,61.2267743
313940215,-149.8243938,61.2266049
313940217,-149.8241106,61.2268032
313940219,-149.8248315,61.2270387
313940221,-149.8244024,61.227365
313940222,-149.8248144,61.2274766
313940223,-149.8252349,61.2272039
313940225,-149.8256383,61.2273485
313940226,-149.8259473,61.2271254
313940227,-149.8257413,61.2270511
313941606,-149.8304263,61.2307124
313941607,-149.8298811,61.2302959
313941608,-149.826946,61.2309942
313941609,-149.8276404,61.2315069
313997419,-149.9035379,61.2189767
313997422,-149.9035473,61.2186507
313997424,-149.9028143,61.2186458
313997427,-149.9028048,61.2189717
313997495,-149.9025438,61.2194079
313997498,-149.9025491,61.219031
313997499,-149.902125,61.2190296
313997501,-149.9021221,61.2192355
313997503,-149.9018916,61.2192348
313997506,-149.9018892,61.2194057
313997554,-149.9014954,61.2194134
313997556,-149.9015032,61.2190721
313997558,-149.9004771,61.2190665
313997560,-149.9004692,61.2194079
313997733,-149.8993587,61.2190086
313997734,-149.8994042,61.2187563
313997736,-149.8977871,61.2187388
313997737,-149.8977829,61.2190081
313997796,-149.8952643,61.219387
313997797,-149.895263,61.218816
313997799,-149.8939065,61.2188205
313997800,-149.8938001,61.2191447
313997801,-149.8949736,61.2190736
313997802,-149.8949787,61.219388
313997851,-149.8948179,61.2193639
313997853,-149.8948167,61.2191578
313997854,-149.8943962,61.2191584
313997855,-149.8943974,61.2193645
313998183,-149.8971166,61.2180058
313998184,-149.897117,61.2176598
313998187,-149.8957271,61.2176581
313998189,-149.8965481,61.2184272
313998191,-149.8965457,61.218058
313998311,-149.8936594,61.2180674
313998313,-149.8936526,61.2184219
313998341,-149.8933077,61.2180642
313998343,-149.8933087,61.2176328
313998344,-149.8916124,61.2176328
313998345,-149.8916063,61.2180598
314001458,-149.8907031,61.2174352
314001465,-149.8906951,61.2166561
314001468,-149.8895503,61.2166587
314001470,-149.889551,61.216735
314001472,-149.889468,61.2167352
314001474,-149.8889222,61.2166381
314001477,-149.8875094,61.2166382
314001479,-149.8875072,61.2173656
314001481,-149.8876309,61.2174262
314001659,-149.888103,61.2166386
314001661,-149.8881513,61.2164496
314001900,-149.8892233,61.216452
314001902,-149.8892236,61.2161036
314001905,-149.8878181,61.2161016
314001909,-149.8878195,61.216449
314002461,-149.8871084,61.2152899
314002464,-149.8871102,61.2149443
314002466,-149.8869382,61.2148651
314002469,-149.8862165,61.2148606
314002472,-149.8860776,61.2147801
314002474,-149.8853863,61.214779
314002476,-149.8852152,61.2146883
314002477,-149.8845042,61.2146885
314002479,-149.8845045,61.2149475
314002480,-149.8843067,61.2150054
314002482,-149.8841834,61.2149301
314002483,-149.883473,61.2149301
314002484,-149.8834729,61.2151902
314002486,-149.8836348,61.2152745
314002487,-149.8843422,61.2152659
314002488,-149.8844823,61.2153481
314002489,-149.8852011,61.2153484
314002491,-149.8853521,61.2154395
314002492,-149.8860703,61.2154424
314002493,-149.8860748,61.2151804
314002494,-149.8862579,61.2151273
314002495,-149.8865682,61.215294
314002759,-149.8845005,61.2144708
314002762,-149.8845005,61.2142765
314002763,-149.8834963,61.2142765
314002767,-149.8834877,61.2144708
314002812,-149.8869636,61.214371
314002813,-149.8871325,61.2142354
314002814,-149.8855742,61.2142354
314002816,-149.8857592,61.2143697
314004398,-149.8830643,61.2170209
314004400,-149.8830591,61.2167182
314004401,-149.8813843,61.2166727
314004402,-149.8817325,61.2169738
314004551,-149.8810463,61.2174313
314004553,-149.8808387,61.2173351
314004555,-149.8808307,61.2171109
314004556,-149.8794925,61.2171219
314004559,-149.8795039,61.2174439
314005220,-149.8748772,61.2172187
314005221,-149.8748817,61.2170781
314005222,-149.8743644,61.2170743
314005223,-149.87436,61.2172125
314006051,-149.8701471,61.2174324
314006052,-149.8701505,61.2168879
314006055,-149.8693406,61.2168865
314006057,-149.8693374,61.2174292
314006112,-149.8707913,61.2163994
314006114,-149.8707827,61.2162011
314006116,-149.8697098,61.2161969
314006117,-149.8697184,61.2163912
314019188,-149.9856476,61.1783491
314019189,-149.9851932,61.1778006
314019191,-149.9844231,61.177946
314019192,-149.9851478,61.1789869
314019195,-149.990077,61.1781136
314019196,-149.9898753,61.177838
314019198,-149.986135,61.17848
314019199,-149.9859658,61.1782937
314019885,-149.9838002,61.1762905
314019891,-149.9843055,61.1762275
314019895,-149.9830229,61.1737285
314019898,-149.982829,61.1732868
314019901,-149.9827384,61.1731982
314019903,-149.9842477,61.1728136
314019904,-149.9847462,61.1728165
314019905,-149.9849834,61.1726199
314019907,-149.9847407,61.1724172
314019909,-149.9842679,61.1724165
314019910,-149.9840235,61.1726276
314019912,-149.9824042,61.1730453
314019913,-149.9823183,61.172966
314019914,-149.9820888,61.1730225
314019915,-149.9820418,61.172988
314019916,-149.9812855,61.1729998
314019918,-149.9812424,61.1730253
314019919,-149.980939,61.1729028
314019921,-149.9805082,61.1727884
314019924,-149.9800066,61.1727018
314019925,-149.9795002,61.1726646
314019926,-149.9790872,61.1726649
314019927,-149.9787117,61.1726648
314019928,-149.9780843,61.1723681
314019930,-149.9778319,61.172371
314019931,-149.9778236,61.1722779
314019936,-149.9768207,61.1724669
314019938,-149.9778365,61.172451
314019939,-149.9785247,61.1727526
314019940,-149.9783385,61.17284
314019941,-149.9783538,61.173025
314019944,-149.978721,61.1730211
314019945,-149.9787179,61.1729887
314019946,-149.9789113,61.1729856
314019947,-149.9789236,61.173063
314019948,-149.9794101,61.1730591
314019949,-149.9798891,61.1730931
314019951,-149.9804524,61.1732193
314019952,-149.9808906,61.1734211
314019954,-149.9810882,61.173542
314019955,-149.9810891,61.1736635
314019956,-149.9813358,61.1738976
314019958,-149.9813104,61.173902
314019959,-149.981798,61.1745421
314019960,-149.9827763,61.1743333
314019963,-149.9825495,61.1747017
314019965,-149.982777,61.1749044
314019968,-149.9830587,61.1748638
314027095,-149.9875906,61.185365
314027099,-149.9870887,61.1832969
314027103,-149.9850273,61.1834345
314027108,-149.9855129,61.1852168
314027110,-149.9864189,61.185154
314027112,-149.9865136,61.1854364
314031634,-149.9969483,61.19608
314031639,-149.9967766,61.1957657
314031643,-149.995575,61.1959228
314031647,-149.9957467,61.1962454
314031712,-150.0008883,61.195389
314031715,-150.0007761,61.1951795
314031719,-149.9993383,61.1953661
314031724,-149.9994606,61.1955734
314032418,-150.0004045,61.1926235
314032419,-149.9986697,61.1929106
314032421,-149.9991007,61.1936481
314032423,-150.0008477,61.1934187
314054780,-149.8870414,61.2066271
314054782,-149.8870389,61.2062633
314054783,-149.8864939,61.2062641
314054784,-149.8864964,61.2066279
314055734,-149.8905224,61.20837
314055735,-149.8905207,61.2079826
314055736,-149.8879967,61.2079192
314055737,-149.8879974,61.2080975
314055739,-149.8877788,61.2080978
314055740,-149.8877798,61.2083437
314055741,-149.8879806,61.2083436
314055742,-149.8879814,61.2085337
314055743,-149.887813,61.2085339
314055744,-149.8878143,61.2088423
314055745,-149.888857,61.2088412
314055747,-149.8888559,61.2085668
314055749,-149.8886782,61.2085669
314055933,-149.8910818,61.2105121
314055934,-149.8910749,61.2101978
314055935,-149.8892685,61.2102334
314055936,-149.8894795,61.2105658
314055937,-149.8908388,61.2105762
314055938,-149.8908384,61.2105124
314413298,-149.926503,61.18782
