,lon,lat
218916520,-145.7654713,60.548632
218916560,-145.7660463,60.548319
218917027,-145.7501576,60.5590595
218917035,-145.7478287,60.558351
313913018,-149.8267386,61.2454463
313913019,-149.826659,61.2449406
313913020,-149.8248005,61.2450043
313913021,-149.8248808,61.2455139
318592443,-150.0258398,61.1975009
318592446,-150.0265401,61.1955415
318592447,-150.0213391,61.1955498
318592448,-150.0213994,61.1970142
318592449,-150.0235194,61.1974195
1243017447,-152.4074581,57.7870152
1253117366,-145.7568991,60.5536666
1255709939,-145.7643579,60.5493693
1270978465,-152.4236863,57.7845337
1309134765,-135.3556931,57.0477949
1309134776,-135.3549394,57.0478999
1309134779,-135.3563502,57.046654
1309134787,-135.35642,57.0469414
1309134878,-135.3555111,57.0467213
1309134883,-135.3553525,57.0467459
1309134886,-135.3546873,57.0473485
1309134887,-135.3559345,57.0467867
1309134898,-135.3551888,57.0467255
1309134905,-135.3565568,57.0466934
1309134912,-135.3565702,57.0468232
1309134945,-135.3548133,57.0473966
1309134964,-135.3553712,57.0479145
1309134988,-135.3549715,57.0475804
1309134991,-135.3560096,57.0475965
1309135001,-135.3560686,57.0473499
1309135008,-135.3562,57.0471894
1309135019,-135.3549287,57.0474797
1309135028,-135.3556171,57.0467814
1454634620,-151.53199,59.6419744
1454634630,-151.5313624,59.6419554
1454634636,-151.5314965,59.641058
1454634660,-151.5312659,59.6418117
1454634661,-151.5312659,59.641161
1454634672,-151.5316467,59.6410444
1454634675,-151.5322905,59.6418849
1454634676,-151.5321081,59.6419662
1454634677,-151.5321617,59.6410824
1454634678,-151.5322851,59.6412233
1454634688,-151.5314641,59.6419722
1454634689,-151.5313839,59.6410878
1454634703,-151.5322475,59.6411339
1454634706,-151.5313141,59.6411284
1454634707,-151.5322044,59.6419505
1454634716,-151.5319579,59.6410498
1454634720,-151.5312819,59.6419039
1771550163,-149.4423166,60.0737677
1771550166,-149.4445149,60.0720548
1771550168,-149.4445353,60.072592
1771550170,-149.4405486,60.0721385
1771550187,-149.4446637,60.0732558
1914161922,-131.6338317,55.3366567
1914161929,-131.6339543,55.3365635
1914161939,-131.6340979,55.33677
1962376706,-134.4172902,58.3019469
1962376709,-134.4172205,58.3019441
1962376734,-134.4175316,58.3019131
1962376760,-134.4175362,58.3020165
1962376864,-134.4174665,58.3016924
1962376926,-134.4176604,58.3017778
1962376944,-134.4175424,58.3017721
1962376946,-134.4177998,58.3018341
1962376962,-134.4176542,58.3018361
1962376993,-134.4178063,58.3019128
1962377070,-134.4175424,58.3016932
1962377074,-134.4172151,58.3016002
1962377086,-134.4174772,58.3015993
1962377150,-134.417301,58.3020202
1994585656,-131.5720517,55.129332
2049215928,-151.5436581,59.6684605
2049215930,-151.5436617,59.6681165
2049215931,-151.5440747,59.6684615
2049215933,-151.5440783,59.6681175
2056154737,-135.4420092,59.2351545
2056154740,-135.4417941,59.2349809
2056154744,-135.4416874,59.235146
2056154763,-135.4420585,59.2350035
2056154784,-135.4418543,59.2351602
2056154812,-135.4417074,59.2350846
2091708539,-150.9399124,59.7785293
2091708540,-150.9404087,59.7785194
2091708541,-150.9399539,59.7790554
2091708542,-150.9404502,59.7790455
2127007314,-149.1939042,64.2892178
2127007315,-149.1939877,64.2892414
2127007316,-149.1937434,64.2892741
2127007317,-149.1944234,64.2893545
2127007318,-149.1935951,64.2893572
2127007319,-149.1935023,64.2894323
2127007320,-149.1934405,64.2895074
2127007321,-149.1934714,64.289553
2127007322,-149.1935364,64.2895686
2127007323,-149.1939722,64.2896817
2127007376,-149.1890159,64.2911378
2127007377,-149.1887378,64.2911432
2127007378,-149.1884657,64.2911807
2127007379,-149.189053,64.2911807
2127007382,-149.1882803,64.2912263
2127007383,-149.188169,64.2912612
2127007384,-149.1882004,64.2913212
2127007385,-149.1892385,64.2913926
2127007387,-149.1883859,64.2915331
2127081823,-149.1953214,64.2863052
2127081825,-149.1948157,64.2863439
2127081826,-149.194705,64.2863526
2127081827,-149.1946744,64.2864019
2127081828,-149.1946701,64.2864417
2127081830,-149.1946744,64.2865233
2127081831,-149.194705,64.2866011
2127081833,-149.1947837,64.2866769
2127081834,-149.1954787,64.2866921
2127081835,-149.194973,64.2867308
2127081836,-149.1948799,64.2867357
2131765528,-151.5029847,59.6403457
2131765539,-151.5027887,59.6403836
2131765543,-151.5026238,59.6401662
2131765560,-151.5028199,59.6401282
2134053963,-133.7374025,58.1420694
2134053964,-133.7379064,58.1418034
2134053966,-133.7379969,58.1418843
2134053967,-133.737312,58.1419885
2134055167,-133.7366802,58.1416563
2134055168,-133.7366795,58.1417386
2134055169,-133.7363252,58.1417378
2134055170,-133.736326,58.1416554
2134056157,-133.7380238,58.1415535
2134056160,-133.7370845,58.1418478
2134056161,-133.7369413,58.1417212
2134056165,-133.7384062,58.1415259
2134056166,-133.7378791,58.1414256
2134056168,-133.7382914,58.141562
2134056170,-133.7384696,58.1415819
2134056172,-133.7372268,58.1419736
2134056173,-133.7382139,58.1414935
2134056744,-133.7378846,58.1412843
2134056745,-133.7375433,58.1412995
2134056746,-133.7376194,58.1413672
2134056747,-133.7378085,58.1412166
2202861446,-147.7198358,64.8415539
2202861447,-147.7194027,64.8413544
2202861448,-147.7197232,64.8413293
2202861449,-147.7198895,64.8413767
2202861450,-147.719429,64.8414181
2202861451,-147.7194912,64.8415248
2202861452,-147.7194389,64.8415283
2202861453,-147.7199351,64.8414906
2202861455,-147.7193892,64.8414206
2202861456,-147.7195206,64.8415802
2224922230,-151.5073938,59.6394651
2224922232,-151.5071451,59.6395109
2224922233,-151.5075519,59.6396847
2224922234,-151.507328,59.639765
2266204369,-151.4408108,59.6639788
2266204386,-151.4407302,59.6641381
2266204388,-151.4409691,59.6641664
2266204407,-151.4433869,59.6645503
2266204410,-151.4439194,59.6645563
2266204417,-151.4433808,59.6646893
2266204419,-151.4439133,59.6646953
2266204437,-151.443365,59.6648019
2266204440,-151.4438816,59.6648079
2266204449,-151.4433546,59.6650309
2266204453,-151.4438713,59.6650369
2267166636,-151.5145903,59.6380699
2267166640,-151.5143235,59.6381146
2267166651,-151.514782,59.6383624
2267166656,-151.5145152,59.6384071
2301114499,-148.4345345,70.2552819
2301114500,-148.4344015,70.2552664
2301114501,-148.4347702,70.2553644
2301114504,-148.4345946,70.255377
2301114506,-148.4344773,70.2553864
2301114507,-148.4343049,70.2553988
2301114520,-148.434432,70.2555998
2301114521,-148.4341948,70.2556169
2301114523,-148.4349438,70.2556389
2301114525,-148.4347682,70.2556516
2301114526,-148.434596,70.2556621
2301114531,-148.4342396,70.2556878
2301114554,-148.4359022,70.256307
2301114555,-148.4355795,70.2563302
2301114556,-148.4355859,70.2563404
2301114557,-148.4352204,70.2563667
2301114558,-148.4359438,70.2563728
2301114559,-148.4356093,70.2563847
2301114560,-148.4356167,70.2563964
2301114562,-148.4352482,70.2564107
2301114575,-148.4378071,70.2569499
2301114576,-148.436758,70.2569601
2301114577,-148.4376237,70.2569632
2301114578,-148.4391707,70.2569652
2301114581,-148.4342447,70.2569773
2301114582,-148.4373588,70.256978
2301114584,-148.4388377,70.2569892
2301114585,-148.4371824,70.2569907
2301114586,-148.4376421,70.2569922
2301114587,-148.4362728,70.2569951
2301114590,-148.4373798,70.2570111
2301114591,-148.4359451,70.2570187
2301114595,-148.4356463,70.2570403
2301114598,-148.4331549,70.257056
2301114600,-148.4353104,70.2570645
2301114602,-148.4348416,70.2570984
2301114603,-148.4399939,70.2571021
2301114604,-148.4343263,70.2571064
2301114605,-148.4346793,70.2571101
2301114608,-148.4339897,70.2571307
2301114609,-148.4342116,70.2571438
2301114610,-148.4336253,70.257144
2301114611,-148.4392894,70.2571529
2301114613,-148.4332287,70.2571727
2301114614,-148.4389551,70.2571749
2301114615,-148.4336507,70.2571843
2301114616,-148.4334236,70.2572007
2301114618,-148.4379933,70.2572443
2301114619,-148.4373729,70.257292
2301114622,-148.4369855,70.2573199
2301114624,-148.436502,70.2573577
2301114625,-148.4333138,70.2573596
2301114627,-148.4361744,70.2573813
2301114628,-148.4398381,70.2573943
2301114629,-148.4328138,70.2573957
2301114630,-148.4371042,70.2574023
2301114631,-148.4357066,70.2574186
2301114632,-148.4355418,70.2574305
2301114633,-148.4391068,70.2574471
2301114634,-148.4402173,70.2574575
2301114635,-148.4328533,70.2574582
2301114636,-148.4350734,70.2574651
2301114637,-148.4400605,70.2574688
2301114638,-148.4335954,70.2574724
2301114639,-148.4349112,70.2574768
2301114640,-148.4386941,70.2574768
2301114643,-148.4333943,70.2574869
2301114645,-148.4359055,70.2574888
2301114647,-148.4357658,70.2574989
2301114649,-148.4322692,70.2575003
2301114651,-148.4344438,70.257511
2301114653,-148.4355944,70.2575112
2301114655,-148.4342395,70.2575258
2301114657,-148.4351316,70.2575448
2301114660,-148.4391692,70.2575458
2301114662,-148.4349523,70.2575577
2301114664,-148.4387565,70.2575756
2301114666,-148.4401308,70.25758
2301114668,-148.4372187,70.2575833
2301114670,-148.4344983,70.257588
2301114672,-148.4399631,70.2575921
2301114674,-148.434153,70.257613
2301114676,-148.4334741,70.2576287
2301114680,-148.4337117,70.257639
2301114682,-148.4334907,70.257655
2301114684,-148.4371442,70.2576612
2301114686,-148.4330181,70.2576616
2301114690,-148.4360637,70.2577391
2301114691,-148.4357435,70.257747
2301114693,-148.4352805,70.2577804
2301114695,-148.4359454,70.257783
2301114697,-148.4351013,70.2577933
2301114699,-148.4325405,70.2578194
2301114701,-148.432474,70.2578242
2301114703,-148.4346487,70.2578259
2301114704,-148.433136,70.2578481
2301114706,-148.4343035,70.2578508
2301114708,-148.4347779,70.2578672
2301114710,-148.436327,70.2578744
2301114712,-148.4362237,70.2578819
2301114714,-148.4338656,70.2578824
2301114715,-148.434514,70.2578862
2301114717,-148.4325839,70.2578879
2301114720,-148.4372998,70.2579072
2301114723,-148.4341482,70.2579126
2301114730,-148.4363893,70.2579729
2301114732,-148.4348472,70.2579767
2301114734,-148.4345832,70.2579958
2301114736,-148.4347153,70.2580379
2301114738,-148.4346153,70.2580451
2301114739,-148.4346738,70.2581376
2301114743,-148.4361698,70.258144
2301114745,-148.4345602,70.2581458
2301114748,-148.4360089,70.2581556
2301114751,-148.4360416,70.2582074
2301114753,-148.4346022,70.2582123
2301114755,-148.4343492,70.2582305
2301114758,-148.4350321,70.2582803
2301114763,-148.4362839,70.2583244
2301114764,-148.4355103,70.2583268
2301114765,-148.4361378,70.2583349
2301114766,-148.4350811,70.2583578
2301114767,-148.4372341,70.2584748
2301114768,-148.4356254,70.2585089
2301114770,-148.436758,70.2585091
2301114771,-148.4367838,70.25855
2301114772,-148.4350399,70.2585511
2301114774,-148.4366522,70.2585595
2301114776,-148.4368323,70.2586191
2301114778,-148.4373263,70.2586205
2301114780,-148.4364701,70.2586239
2301114781,-148.4366342,70.2586334
2301114783,-148.4363271,70.2586343
2301114785,-148.4368546,70.2586545
2301114787,-148.4373814,70.2586562
2301114791,-148.4366806,70.2587068
2301114793,-148.436557,70.2587614
2301114795,-148.4363222,70.2587783
2301114797,-148.4374727,70.2588006
2301114799,-148.4367719,70.2588512
2301114800,-148.4367896,70.2588791
2301114804,-148.4364035,70.258907
2301238881,-148.4361982,70.2545625
2301238884,-148.4361075,70.2545903
2301238891,-148.4364282,70.2546484
2301238893,-148.4365045,70.2546758
2301238894,-148.4363375,70.2546761
2301238895,-148.4364113,70.2547045
2301238896,-148.4366471,70.2547287
2301238897,-148.4365539,70.2547574
2301238898,-148.4360116,70.2547758
2301238900,-148.4361194,70.2547943
2301238907,-148.4345234,70.2552308
2301239228,-148.3287002,70.2633409
2301239232,-148.3285487,70.2633508
2301239240,-148.329091,70.2633971
2301239242,-148.3291986,70.263403
2301239249,-148.328745,70.2634195
2301239257,-148.3291088,70.2634283
2301239260,-148.3287675,70.2634505
2301239298,-148.3288355,70.2635699
2301239306,-148.3286793,70.2635801
2301239384,-148.3314393,70.2639975
2301239388,-148.331352,70.2640308
2301239392,-148.3317343,70.2640311
2301239395,-148.3315923,70.2640312
2301239397,-148.3316593,70.2640365
2301239402,-148.3318272,70.2640585
2301239431,-148.3316647,70.2640911
2301239466,-148.3326818,70.2642719
2301239471,-148.3323592,70.2642951
2301239473,-148.3323662,70.2643063
2301239476,-148.3320007,70.2643327
2301239478,-148.3327229,70.2643368
2301239488,-148.3323865,70.2643458
2301239497,-148.3323958,70.2643604
2301239503,-148.3320254,70.2643718
2301239559,-148.3323404,70.2645707
2301239563,-148.3321595,70.2645838
2301239566,-148.3319906,70.2645995
2301239570,-148.331965,70.2646012
2301239572,-148.3318663,70.2646085
2301239601,-148.3327041,70.2647679
2301239603,-148.3324755,70.2647844
2301239611,-148.3327474,70.2648363
2301239616,-148.3323379,70.2648659
2301239618,-148.3321658,70.2648765
2301239620,-148.3320415,70.2648854
2301239622,-148.3358721,70.2649256
2301239624,-148.3357213,70.2649365
2301239627,-148.334632,70.2649861
2301239629,-148.3335829,70.2649963
2301239631,-148.3344486,70.2649993
2301239633,-148.3359955,70.2650014
2301239635,-148.3359233,70.2650066
2301239637,-148.3310696,70.2650135
2301239639,-148.3341836,70.2650141
2301239641,-148.3357726,70.2650175
2301239645,-148.3356626,70.2650254
2301239648,-148.3340072,70.2650269
2301239650,-148.334467,70.2650284
2301239652,-148.3330976,70.2650313
2301239657,-148.3342046,70.2650473
2301239658,-148.33277,70.2650549
2301239660,-148.3324711,70.2650765
2301239661,-148.3299797,70.2650921
2301239662,-148.3321353,70.2651007
2301239664,-148.3316664,70.2651345
2301239665,-148.3368187,70.2651382
2301239666,-148.3311512,70.2651425
2301239667,-148.3315042,70.2651462
2301239669,-148.3308146,70.2651668
2301239670,-148.3310364,70.2651799
2301239671,-148.3304501,70.2651802
2301239673,-148.3361142,70.2651891
2301239674,-148.3300535,70.2652088
2301239675,-148.33578,70.265211
2301239676,-148.3304756,70.2652204
2301239677,-148.3302485,70.2652368
2301239678,-148.3348181,70.2652804
2301239682,-148.3341978,70.265328
2301239683,-148.329308,70.265332
2301239684,-148.3293741,70.2653514
2301239685,-148.3293227,70.2653552
2301239687,-148.3338104,70.265356
2301239688,-148.3288041,70.2653683
2301239692,-148.3333269,70.2653937
2301239693,-148.3301387,70.2653957
2301239694,-148.3288816,70.2654124
2301239695,-148.3288341,70.2654159
2301239696,-148.3329992,70.2654173
2301239697,-148.3366629,70.2654303
2301239698,-148.3296387,70.2654317
2301239699,-148.3339291,70.2654384
2301239700,-148.3325315,70.2654546
2301239702,-148.3323667,70.2654665
2301239704,-148.3359316,70.2654831
2301239706,-148.3370422,70.2654935
2301239707,-148.3318983,70.2655011
2301239708,-148.3368854,70.2655048
2301239709,-148.3317361,70.2655128
2301239710,-148.3355189,70.2655128
2301239711,-148.3327303,70.2655248
2301239712,-148.3325906,70.2655348
2301239713,-148.3312686,70.265547
2301239714,-148.3324193,70.2655472
2301239717,-148.3310644,70.2655617
2301239720,-148.3319564,70.2655807
2301239721,-148.335994,70.2655817
2301239722,-148.3317772,70.2655937
2301239723,-148.3304777,70.2655991
2301239724,-148.3355814,70.2656115
2301239725,-148.3302765,70.2656136
2301239726,-148.3369557,70.265616
2301239727,-148.3340435,70.2656192
2301239728,-148.3313232,70.265624
2301239729,-148.336788,70.265628
2301239730,-148.3297718,70.2656423
2301239731,-148.3309779,70.2656489
2301239733,-148.3295674,70.265657
2301239734,-148.330299,70.2656646
2301239736,-148.3305365,70.2656749
2301239738,-148.3303156,70.2656909
2301239739,-148.333969,70.2656971
2301239740,-148.3298429,70.2656975
2301239742,-148.3292246,70.2657427
2301239743,-148.3290964,70.2657519
2301239745,-148.3328886,70.265775
2301239746,-148.3325683,70.2657828
2301239747,-148.3321054,70.2658162
2301239748,-148.3327703,70.2658188
2301239750,-148.3319262,70.2658291
2301239753,-148.3314736,70.2658618
2301239757,-148.3311283,70.2658867
2301239759,-148.3331519,70.2659102
2301239763,-148.3330485,70.2659177
2301239764,-148.3306904,70.2659183
2301239765,-148.3311674,70.2659344
2301239766,-148.3341246,70.265943
2301239770,-148.331139,70.2659771
2301239773,-148.3312127,70.266006
2301239774,-148.3332142,70.2660087
2301239775,-148.3311597,70.2660098
2301239776,-148.3306139,70.266015
2301239777,-148.3313626,70.2660325
2301239778,-148.3312225,70.2660421
2301239779,-148.3306335,70.2660459
2301239780,-148.3305366,70.2660529
2301239782,-148.3306604,70.2660884
2301239785,-148.3305634,70.2660954
2301239791,-148.3312916,70.2661564
2301239794,-148.3329947,70.2661797
2301239796,-148.3328337,70.2661913
2301239797,-148.3307277,70.2661949
2301239802,-148.3328665,70.2662431
2301239809,-148.3318569,70.2663159
2301239811,-148.3331087,70.26636
2301239814,-148.3329627,70.2663706
2301239815,-148.3321693,70.2663744
2301239816,-148.331906,70.2663934
